Model,Accuracy,F1,AUC,Fold,Scenario
RF,0.7037037037037037,0.6666666666666666,0.7527472527472527,1,A_Baseline
RF,0.6296296296296297,0.5833333333333334,0.7252747252747254,1,B_Fidelity
RF,0.6296296296296297,0.5833333333333334,0.6483516483516484,1,C_Scale
RF,0.7407407407407407,0.6956521739130435,0.7774725274725275,1,D_Augment_0.5
RF,0.7037037037037037,0.6666666666666666,0.7802197802197802,1,D_Augment_1.0
RF,0.7407407407407407,0.6956521739130435,0.7747252747252747,1,D_Augment_2.0
RF,0.6666666666666666,0.64,0.7472527472527473,1,D_Augment_4.0
XGB,0.6666666666666666,0.64,0.7417582417582418,1,A_Baseline
XGB,0.6296296296296297,0.5454545454545454,0.6868131868131868,1,B_Fidelity
XGB,0.5555555555555556,0.45454545454545453,0.6373626373626373,1,C_Scale
XGB,0.7037037037037037,0.6666666666666666,0.7774725274725276,1,D_Augment_0.5
XGB,0.7037037037037037,0.6923076923076923,0.7857142857142857,1,D_Augment_1.0
XGB,0.7037037037037037,0.6666666666666666,0.695054945054945,1,D_Augment_2.0
XGB,0.7407407407407407,0.6956521739130435,0.7472527472527473,1,D_Augment_4.0
KNN,0.7407407407407407,0.72,0.804945054945055,1,A_Baseline
KNN,0.7407407407407407,0.7407407407407407,0.7967032967032968,1,B_Fidelity
KNN,0.6296296296296297,0.5833333333333334,0.6373626373626374,1,C_Scale
KNN,0.8148148148148148,0.8,0.8296703296703297,1,D_Augment_0.5
KNN,0.6666666666666666,0.6086956521739131,0.6291208791208791,1,D_Augment_1.0
KNN,0.7037037037037037,0.6666666666666666,0.7637362637362638,1,D_Augment_2.0
KNN,0.7407407407407407,0.72,0.7307692307692307,1,D_Augment_4.0
LR,0.7037037037037037,0.6923076923076923,0.7472527472527472,1,A_Baseline
LR,0.7407407407407407,0.72,0.7582417582417583,1,B_Fidelity
LR,0.7037037037037037,0.6923076923076923,0.7252747252747253,1,C_Scale
LR,0.7037037037037037,0.6923076923076923,0.7802197802197802,1,D_Augment_0.5
LR,0.6666666666666666,0.6666666666666666,0.7637362637362638,1,D_Augment_1.0
LR,0.7407407407407407,0.6956521739130435,0.7472527472527473,1,D_Augment_2.0
LR,0.7407407407407407,0.72,0.7692307692307693,1,D_Augment_4.0
RF,0.8518518518518519,0.8333333333333334,0.8434065934065934,2,A_Baseline
RF,0.6666666666666666,0.7096774193548387,0.8076923076923077,2,B_Fidelity
RF,0.7037037037037037,0.7142857142857143,0.7967032967032966,2,C_Scale
RF,0.8148148148148148,0.782608695652174,0.7609890109890111,2,D_Augment_0.5
RF,0.8148148148148148,0.8,0.8131868131868132,2,D_Augment_1.0
RF,0.8518518518518519,0.8333333333333334,0.8516483516483517,2,D_Augment_2.0
RF,0.8888888888888888,0.8695652173913043,0.9120879120879121,2,D_Augment_4.0
XGB,0.8148148148148148,0.782608695652174,0.8543956043956044,2,A_Baseline
XGB,0.6296296296296297,0.6428571428571429,0.7527472527472527,2,B_Fidelity
XGB,0.7777777777777778,0.7857142857142857,0.7802197802197802,2,C_Scale
XGB,0.7777777777777778,0.7692307692307693,0.8516483516483516,2,D_Augment_0.5
XGB,0.8148148148148148,0.782608695652174,0.9340659340659341,2,D_Augment_1.0
XGB,0.7037037037037037,0.6923076923076923,0.7692307692307693,2,D_Augment_2.0
