Model,Accuracy,F1,AUC,Fold,Scenario
RF,0.7037037037037037,0.6666666666666666,0.7527472527472527,1,A_Baseline
RF,0.5555555555555556,0.3333333333333333,0.46703296703296704,1,B_Fidelity
RF,0.48148148148148145,0.2222222222222222,0.38461538461538464,1,C_Scale
RF,0.7407407407407407,0.6956521739130435,0.7362637362637362,1,D_Augment_0.5
RF,0.7407407407407407,0.6956521739130435,0.739010989010989,1,D_Augment_1.0
RF,0.7407407407407407,0.6956521739130435,0.7472527472527473,1,D_Augment_2.0
RF,0.5925925925925926,0.47619047619047616,0.6318681318681318,1,D_Augment_4.0
XGB,0.6666666666666666,0.64,0.7417582417582418,1,A_Baseline
XGB,0.4074074074074074,0.3333333333333333,0.43956043956043955,1,B_Fidelity
XGB,0.37037037037037035,0.10526315789473684,0.3076923076923077,1,C_Scale
XGB,0.7777777777777778,0.75,0.7912087912087912,1,D_Augment_0.5
XGB,0.6666666666666666,0.64,0.6923076923076923,1,D_Augment_1.0
XGB,0.7407407407407407,0.6666666666666666,0.7472527472527473,1,D_Augment_2.0
XGB,0.5555555555555556,0.5,0.6208791208791209,1,D_Augment_4.0
KNN,0.7407407407407407,0.72,0.804945054945055,1,A_Baseline
KNN,0.4444444444444444,0.0,0.4010989010989011,1,B_Fidelity
KNN,0.4444444444444444,0.34782608695652173,0.42582417582417587,1,C_Scale
KNN,0.7407407407407407,0.72,0.7197802197802197,1,D_Augment_0.5
KNN,0.7037037037037037,0.6363636363636364,0.7390109890109888,1,D_Augment_1.0
KNN,0.7407407407407407,0.6956521739130435,0.8241758241758241,1,D_Augment_2.0
KNN,0.7407407407407407,0.7586206896551724,0.8461538461538461,1,D_Augment_4.0
LR,0.7037037037037037,0.6923076923076923,0.7472527472527472,1,A_Baseline
LR,0.5555555555555556,0.3333333333333333,0.4615384615384615,1,B_Fidelity
LR,0.4444444444444444,0.11764705882352941,0.41208791208791207,1,C_Scale
LR,0.5925925925925926,0.5217391304347826,0.7417582417582418,1,D_Augment_0.5
LR,0.6296296296296297,0.5833333333333334,0.7307692307692308,1,D_Augment_1.0
LR,0.5925925925925926,0.26666666666666666,0.6538461538461539,1,D_Augment_2.0
LR,0.5555555555555556,0.25,0.576923076923077,1,D_Augment_4.0
RF,0.8518518518518519,0.8333333333333334,0.8434065934065934,2,A_Baseline
RF,0.48148148148148145,0.5,0.5164835164835165,2,B_Fidelity
RF,0.5555555555555556,0.625,0.6703296703296704,2,C_Scale
RF,0.8148148148148148,0.8,0.9065934065934066,2,D_Augment_0.5
RF,0.8148148148148148,0.8148148148148148,0.8296703296703296,2,D_Augment_1.0
RF,0.7407407407407407,0.6956521739130435,0.9065934065934066,2,D_Augment_2.0
RF,0.8148148148148148,0.8,0.8516483516483516,2,D_Augment_4.0
XGB,0.8148148148148148,0.782608695652174,0.8543956043956044,2,A_Baseline
XGB,0.48148148148148145,0.46153846153846156,0.5329670329670331,2,B_Fidelity
XGB,0.5555555555555556,0.6470588235294118,0.7472527472527473,2,C_Scale
XGB,0.7777777777777778,0.75,0.8076923076923077,2,D_Augment_0.5
XGB,0.8148148148148148,0.782608695652174,0.8736263736263736,2,D_Augment_1.0
XGB,0.8148148148148148,0.782608695652174,0.8901098901098901,2,D_Augment_2.0
XGB,0.7407407407407407,0.631578947368421,0.7527472527472527,2,D_Augment_4.0
KNN,0.7777777777777778,0.7692307692307693,0.8351648351648351,2,A_Baseline
KNN,0.5555555555555556,0.45454545454545453,0.5741758241758241,2,B_Fidelity
KNN,0.6296296296296297,0.6875,0.7472527472527473,2,C_Scale
KNN,0.7407407407407407,0.7407407407407407,0.8049450549450549,2,D_Augment_0.5
KNN,0.8148148148148148,0.8,0.8104395604395604,2,D_Augment_1.0
KNN,0.8148148148148148,0.8,0.8708791208791209,2,D_Augment_2.0
KNN,0.8148148148148148,0.8148148148148148,0.8598901098901099,2,D_Augment_4.0
LR,0.8518518518518519,0.8333333333333334,0.8681318681318682,2,A_Baseline
LR,0.6666666666666666,0.6086956521739131,0.6593406593406593,2,B_Fidelity
LR,0.6666666666666666,0.7272727272727273,0.7912087912087913,2,C_Scale
LR,0.8518518518518519,0.8461538461538461,0.9010989010989011,2,D_Augment_0.5
LR,0.8148148148148148,0.8148148148148148,0.879120879120879,2,D_Augment_1.0
LR,0.8518518518518519,0.8333333333333334,0.8846153846153846,2,D_Augment_2.0
LR,0.7407407407407407,0.7741935483870968,0.8406593406593408,2,D_Augment_4.0
RF,0.8148148148148148,0.8148148148148148,0.8791208791208791,3,A_Baseline
RF,0.5925925925925926,0.5925925925925926,0.6373626373626373,3,B_Fidelity
RF,0.5185185185185185,0.38095238095238093,0.543956043956044,3,C_Scale
RF,0.8518518518518519,0.8461538461538461,0.8956043956043955,3,D_Augment_0.5
RF,0.6666666666666666,0.64,0.7747252747252747,3,D_Augment_1.0
RF,0.7407407407407407,0.7586206896551724,0.8296703296703296,3,D_Augment_2.0
RF,0.8148148148148148,0.8,0.8901098901098901,3,D_Augment_4.0
XGB,0.7407407407407407,0.72,0.8461538461538461,3,A_Baseline
XGB,0.7777777777777778,0.75,0.7967032967032968,3,B_Fidelity
XGB,0.5555555555555556,0.3333333333333333,0.554945054945055,3,C_Scale
XGB,0.6666666666666666,0.6086956521739131,0.7252747252747253,3,D_Augment_0.5
XGB,0.7407407407407407,0.72,0.8791208791208791,3,D_Augment_1.0
XGB,0.7407407407407407,0.6666666666666666,0.8241758241758241,3,D_Augment_2.0
XGB,0.7777777777777778,0.7,0.8846153846153846,3,D_Augment_4.0
KNN,0.8148148148148148,0.8148148148148148,0.8461538461538463,3,A_Baseline
KNN,0.6296296296296297,0.6153846153846154,0.6401098901098902,3,B_Fidelity
KNN,0.5925925925925926,0.5217391304347826,0.6483516483516484,3,C_Scale
KNN,0.8148148148148148,0.8275862068965517,0.9120879120879121,3,D_Augment_0.5
KNN,0.7407407407407407,0.72,0.8021978021978022,3,D_Augment_1.0
KNN,0.7407407407407407,0.7407407407407407,0.8351648351648352,3,D_Augment_2.0
KNN,0.6666666666666666,0.64,0.8214285714285714,3,D_Augment_4.0
LR,0.7777777777777778,0.7857142857142857,0.8626373626373627,3,A_Baseline
LR,0.6666666666666666,0.64,0.7472527472527473,3,B_Fidelity
LR,0.5555555555555556,0.25,0.6098901098901099,3,C_Scale
LR,0.8148148148148148,0.8148148148148148,0.8846153846153846,3,D_Augment_0.5
LR,0.7777777777777778,0.7692307692307693,0.8351648351648351,3,D_Augment_1.0
LR,0.7037037037037037,0.6666666666666666,0.7692307692307693,3,D_Augment_2.0
LR,0.6666666666666666,0.5714285714285714,0.7252747252747253,3,D_Augment_4.0
RF,0.8518518518518519,0.8181818181818182,0.9722222222222222,4,A_Baseline
RF,0.2962962962962963,0.09523809523809523,0.28611111111111115,4,B_Fidelity
RF,0.4444444444444444,0.11764705882352941,0.3916666666666667,4,C_Scale
RF,0.9259259259259259,0.9166666666666666,0.9777777777777777,4,D_Augment_0.5
RF,0.8148148148148148,0.782608695652174,0.9444444444444445,4,D_Augment_1.0
