Scenario,Model,Acc_Mean,Acc_Std,F1_Mean,F1_Std,AUC_Mean,AUC_Std
A_Baseline,KNN,0.7886609686609687,0.07756001469976814,0.7619678146239812,0.09094860303368364,0.8676037851037851,0.06452430395193227
B_Fidelity,KNN,0.6755555555555556,0.13500503859563354,0.6738311376766091,0.13108893367851632,0.7261538461538461,0.1388169827100747
C_Scale,KNN,0.7244444444444444,0.0956699511920887,0.7064798930316172,0.10311721840759139,0.8026691086691087,0.10833802583515732
D_Augment_0.5,KNN,0.7808547008547008,0.05927489475225673,0.7515842185946187,0.07429222480502017,0.8424200244200244,0.07851253304020912
D_Augment_1.0,KNN,0.7721367521367521,0.08332265903502728,0.746390265451135,0.0926545591366944,0.8373266178266178,0.0869552779333646
D_Augment_2.0,KNN,0.7436467236467236,0.0832993169264288,0.7170869703565356,0.09764717302757252,0.8182503052503053,0.08331292750294683
D_Augment_4.0,KNN,0.750997150997151,0.08476381984662221,0.7306779241047054,0.08996743770682228,0.8156098901098902,0.08933324146663157
A_Baseline,LR,0.8152136752136753,0.07457179922072364,0.7983849657810677,0.0873849191389862,0.8872393162393162,0.06050959733955387
B_Fidelity,LR,0.8033048433048432,0.07352290560911881,0.7924983000525633,0.07409501390017886,0.8561746031746031,0.08554222334027037
C_Scale,LR,0.812022792022792,0.07464994574529103,0.7932392113855383,0.0874259245314254,0.8758278388278389,0.07473065575274934
D_Augment_0.5,LR,0.8285470085470085,0.07297573100018234,0.8147977497542714,0.08327887565404478,0.8886642246642247,0.06704490508871018
D_Augment_1.0,LR,0.8194871794871794,0.06145547453929085,0.8019626492448082,0.07687764167752993,0.8835665445665445,0.0639493232738655
D_Augment_2.0,LR,0.8242735042735043,0.07422445287963259,0.8084849507536164,0.08830812255514492,0.8889181929181929,0.06936449746972924
D_Augment_4.0,LR,0.8329914529914529,0.06859986326265119,0.8159397923194025,0.08913393746788083,0.893041514041514,0.06249691790224205
A_Baseline,RF,0.8421652421652422,0.06144650369637417,0.8264116668716369,0.07015030579744073,0.8976544566544566,0.06538896329931429
B_Fidelity,RF,0.7438176638176638,0.10561398047056597,0.726924629052605,0.11461068865257007,0.8116587301587301,0.11361292507603253
C_Scale,RF,0.7648433048433049,0.0855016560876108,0.7502078356703543,0.09187632342228073,0.8652796092796093,0.08554677567368528
D_Augment_0.5,RF,0.8407977207977209,0.06313809636000499,0.8253604926474492,0.0733582353631382,0.8913882783882784,0.06296575308690784
D_Augment_1.0,RF,0.8333333333333333,0.08095046085897849,0.8198333728906442,0.0907964666915422,0.8928644688644688,0.07104233908029918
D_Augment_2.0,RF,0.8124786324786325,0.07689216254741169,0.7943329311923014,0.08465228927678294,0.8907020757020757,0.06819468194481389
D_Augment_4.0,RF,0.823019943019943,0.08922702142162285,0.8169639934611449,0.09085424916391412,0.8844798534798535,0.07599953144770671
A_Baseline,XGB,0.7990883190883191,0.08351928506830011,0.7679334339525297,0.11107312257130467,0.8766935286935287,0.07168533136344875
B_Fidelity,XGB,0.723019943019943,0.13224169296494856,0.7139153104858262,0.13012796625410117,0.8117893772893773,0.11672040221882006
C_Scale,XGB,0.7617094017094017,0.10464957947501756,0.7401220872875949,0.12737289949385763,0.8427600732600733,0.08578842230241165
D_Augment_0.5,XGB,0.813903133903134,0.08031173452607215,0.7933250876241487,0.09694305017085066,0.8850744810744812,0.06723117847145614
D_Augment_1.0,XGB,0.7913960113960115,0.06944484622573521,0.7732646366048891,0.08247619379063532,0.8809035409035408,0.0661721505643907
D_Augment_2.0,XGB,0.8065527065527065,0.08671244123216448,0.7846489555089255,0.1066135205409762,0.866473137973138,0.08518348579447625
D_Augment_4.0,XGB,0.8067236467236466,0.10920201038134732,0.7868035371591594,0.12213346735126772,0.8733302808302809,0.09327168208028912
