Scenario,Model,Acc_Mean,Acc_Std,F1_Mean,F1_Std,AUC_Mean,AUC_Std
A_Baseline,KNN,0.7886609686609687,0.07756001469976814,0.7619678146239812,0.09094860303368364,0.8676037851037851,0.06452430395193227
B_Fidelity,KNN,0.5191452991452992,0.11279383024040762,0.42625008526366526,0.23535568444325572,0.5165018315018315,0.1484992465667854
C_Scale,KNN,0.5402849002849003,0.10106226059946491,0.47541102136485835,0.1706014798821733,0.5568974358974359,0.1228945561977293
D_Augment_0.5,KNN,0.7809686609686609,0.06369008369130393,0.755056508886194,0.08464733835372465,0.8524670329670329,0.07607798405810821
D_Augment_1.0,KNN,0.7735042735042735,0.06652970688130128,0.7419757098999267,0.0854228542962997,0.8495128205128205,0.07745219945603482
D_Augment_2.0,KNN,0.7512820512820513,0.06979693577376529,0.721652665641871,0.08091116473565105,0.8353693528693529,0.06851856252610336
D_Augment_4.0,KNN,0.7361253561253561,0.07420668055963611,0.7080633040917802,0.08989960322702513,0.818464590964591,0.07989447980178274
A_Baseline,LR,0.8152136752136753,0.07457179922072364,0.7983849657810677,0.0873849191389862,0.8872393162393162,0.06050959733955387
B_Fidelity,LR,0.5757264957264957,0.11294110531993189,0.4864197860588449,0.20057939180136608,0.6138327228327228,0.15739941296791093
C_Scale,LR,0.5713390313390313,0.12267604136468416,0.39600392350483804,0.2729549502323286,0.6006349206349206,0.225355876528108
D_Augment_0.5,LR,0.7780056980056981,0.08053230381599424,0.7435536019536019,0.10375995306764066,0.8682881562881564,0.06429792176190051
D_Augment_1.0,LR,0.7792592592592592,0.0816570721079157,0.7558781298511046,0.10220746858072678,0.8576593406593406,0.06424550952953244
D_Augment_2.0,LR,0.7392592592592593,0.08487394984715092,0.6835656500659151,0.13127115807418097,0.8249133089133089,0.08656502943646191
D_Augment_4.0,LR,0.7110541310541311,0.1091477681044425,0.6386767419594613,0.1873313248383988,0.8017838827838828,0.10969876690412093
A_Baseline,RF,0.8421652421652422,0.06144650369637417,0.8264116668716369,0.07015030579744073,0.8976544566544566,0.06538896329931429
B_Fidelity,RF,0.5418233618233618,0.09948409682704057,0.46978275702949274,0.17743364203726864,0.5782380952380952,0.12985964173554013
C_Scale,RF,0.5461538461538461,0.12205561244992384,0.45814027624749065,0.20293482496104873,0.5553846153846154,0.1575755313370277
D_Augment_0.5,RF,0.8374928774928775,0.05831896769679447,0.8191409832879099,0.07208973444756155,0.8994035409035409,0.0625435187231774
D_Augment_1.0,RF,0.8272934472934473,0.07120403298026308,0.8058971955913485,0.08240002600610781,0.8888168498168498,0.0766953798671358
D_Augment_2.0,RF,0.8003418803418804,0.07645526207507469,0.7713815454577073,0.09355367123678433,0.8798864468864468,0.07009844519099731
D_Augment_4.0,RF,0.7822222222222223,0.09975521510267905,0.7476773376659434,0.1459557960812077,0.8684822954822955,0.08093237190416748
A_Baseline,XGB,0.7990883190883191,0.08351928506830011,0.7679334339525297,0.11107312257130467,0.8766935286935287,0.07168533136344875
B_Fidelity,XGB,0.5445014245014245,0.10331996328489211,0.4832557848470369,0.18302169736777663,0.5506703296703297,0.13807104776025667
C_Scale,XGB,0.5417094017094017,0.12794140333241039,0.44388196894306775,0.21374408261831584,0.5644133089133089,0.160817102978249
D_Augment_0.5,XGB,0.7900284900284901,0.06852676097971447,0.7708760441180231,0.0774746039138998,0.867454822954823,0.06290141751423547
D_Augment_1.0,XGB,0.7598290598290598,0.08785163337505696,0.7221271132434616,0.10735880958004916,0.8494859584859585,0.08534013250631403
D_Augment_2.0,XGB,0.788091168091168,0.07452162262814906,0.7629027724192247,0.08559875438262365,0.854848595848596,0.07108693270344925
D_Augment_4.0,XGB,0.7567521367521367,0.09377151442470881,0.7203745906869082,0.11863673442635062,0.8325311355311356,0.09200830895445447
